Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
ELEC,New York Institute of Technology - Old Westbury Solar Carport Station,Valentines Ln & Northern Blvd,Route 25A,Old Westbury,NY,11568,,,E,,Private,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,4,,,,Non-Networked,,GPS,40.814019,-73.608978,2022-03-07,35272,2023-02-15 22:45:41 UTC,P,,,2009-11-15,,,,,NEMA520,US,,,,Privé,,private,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,SOLAR,,,,,,,,
ELEC,New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,,Albany,NY,12203,,,E,,Private,Employee and guest use only,,,,,1,7,,,Non-Networked,,200-9,42.702424,-73.857693,2022-03-07,35562,2023-02-15 22:45:41 UTC,P,,,2008-07-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,,STATE_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,
ELEC,Saratoga Technology & Energy Park,10 Hermes Rd,,Malta,NY,12020,,,E,,Private,Employee and guest use only,,,,,2,,,,Non-Networked,,200-9,42.969823,-73.773021,2022-06-14,35563,2023-02-15 22:45:41 UTC,SG,,,2008-07-01,,,,,NEMA520,US,,,,Privé,,private,,,RESEARCH_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Hudson Valley Community College - TEC-SMART Building,345 Hermes Rd,,Malta,NY,12020,,518-629-7075,E,,Public,7am-10pm M-Sat; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,,,,Non-Networked,,GPS,42.97167,-73.774182,2023-03-08,36532,2023-03-08 17:16:33 UTC,SG,,,2010-10-15,,,,,NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,James J Peters VA Medical Center,130 W Kingsbridge Rd,JJPVA Motor Pool,Bronx,NY,10468,,,E,,Private - Government only,Accepts fleet card,,,,,,2,,,Non-Networked,,GPS,40.867403,-73.906405,2021-02-22,41240,2021-08-04 00:01:52 UTC,FG,19,Department of Veterans Affairs,2021-01-15,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,VA,HOSPITAL,,,,,,,$0.13 per kWh,,,,,,,,,,,,,,,,,
ELEC,Thruway Nissan,79 Route 17K,,Newburgh,NY,12550,,845-562-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.504105,-74.068916,2020-06-09,44174,2023-02-15 22:45:41 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Thruway Nissan,79 Route 17K,,Newburgh,NY,12550,,845-562-1000,E,,Private,,,,,,,1,,,Non-Networked,,200-9,41.504105,-74.068916,2020-06-09,44175,2023-02-15 22:45:41 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Country Club Imports,55 Oneida St,,Oneonta,NY,13820,,607-432-2800,E,,Public - Call ahead,Dealership business hours; see service desk for access,,,,,,2,2,,Non-Networked,,GPS,42.451285,-75.100333,2020-06-09,44176,2023-02-15 22:45:41 UTC,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Country Club Imports,55 Oneida St,,Oneonta,NY,13820,,607-432-2800,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.451285,-75.100333,2020-06-09,44177,2023-02-15 22:45:41 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,West-Herr Nissan,3580 Southwestern Blvd,,Orchard Park,NY,14127,,716-662-8008,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.784867,-78.76558,2020-06-09,44178,2023-02-15 22:45:41 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
