name,make,model,year,trim,powertrain,m,Af,Cd,Cr,batt_cap,max_charge_rate_AC,max_charge_rate_DC,mi_per_kWh,mi_per_gal,price,energies_filename
2019 Tesla Model 3 Standard Range Plus RWD,Tesla,Model 3,2019,Standard Range Plus RWD,electric,1611,2.22,0.23,0.01,54,max_charge_rate_AC,250,3.94658754,NA,39990,filled_energies_tesla.npy
2019 Nissan Leaf S Plus,Nissan,Leaf,2019,S Plus,electric,1715,2.27,0.28,0.01,62,max_charge_rate_AC,100,3.20474777,NA,36550,filled_energies_leaf.npy
2020 Tesla Model 3 Long Range AWD,Tesla,Model 3,2020,Long Range AWD,electric,1829,Af,Cd,0.01,75,max_charge_rate_AC,250,3.59050445,NA,46990,energies_2020_Tesla_Model_3_Long_Range_AWD.npy
2020 Nissan Leaf S,Nissan,Leaf,2020,S,electric,1605,Af,0.28,0.01,40,max_charge_rate_AC,46,3.29376855,NA,31600,energies_2020_Nissan_Leaf_S.npy
2020 Toyota Prius L Eco,Toyota,Prius,2020,L Eco,hybrid,1365,Af,0.24,0.01,NA,NA,NA,NA,TBD,24325,NA
2020 Wuling Hongguang Mini EV Yue Xiang,Wuling,Hongguang Mini EV,2020,Yue Xiang,electric,705,Af,Cd,0.01,13.9,max_charge_rate_AC,7,7.5995036,NA,6000,energies_2020_Wuling_Hongguang_Mini_EV_YX.npy
2020 smart EQ forfour,smart,EQ,2020,forfour,electric,1200,Af,Cd,0.01,17.2,max_charge_rate_AC,22,3.6551,NA,25306,energies_2020_smart_EQ_forfour.npy
2020 smart EQ forfour Plus,smart,EQ,2020,forfour Plus,electric,m,Af,Cd,0.01,27.8,max_charge_rate_AC,22,3.612208174,NA,28486,energies_2020_smart_EQ_forfour_Plus.npy
2021 Dacia Spring,Dacia,Spring,2021,,electric,970,Af,Cd,0.01,27.4,max_charge_rate_AC,30,5.221606657,NA,26058,energies_2021_Dacia_Spring.npy
2022 VW ID.4 Pro,VW,ID.4,2022,Pro,electric,2072,Af,Cd,0.01,77,max_charge_rate_AC,135,2.93768546,NA,40760,TBD
2021 Hyundai Kona Electric SEL,Hyundai,Kona Electric,2021,SEL,electric,1564,Af,Cd,0.01,39.2,max_charge_rate_AC,100,4.345253093,NA,37190,energies_2021_Hyundai_Kona_Electric_SEL.npy
2022 Dacia Spring Comfort,Dacia,Spring,2022,Comfort,electric,970,Af,Cd,0.01,26.8,6.6,30,4.470296347,NA,24751.77305,energies_2022_Dacia_Spring_Comfort.npy
2022 Nissan Leaf S,Nissan,Leaf,2022,S,electric,1594.8308,Af,Cd,0.01,40,6.6,50,3.633749662,NA,27400,energies_2022_Nissan_Leaf_S.npy
2022 Chevrolet Bolt EV 1LT,Chevrolet,Bolt EV,2022,1LT,electric,1628,Af,Cd,0.01,65,11.5,55,4.321354201,NA,31500,energies_2022_Chevrolet_Bolt_EV_1LT.npy
2021 Hyundai IONIQ Electric SE,Hyundai,IONIQ Electric,2021,SE,electric,1529.06,Af,Cd,0.01,38.3,7.2,50,4.502689799,NA,33245,energies_2022_Hyundai_IONIQ_Electric_SE.npy
2021 Hyundai IONIQ Hybrid SE,Hyundai,IONIQ Hybrid,2021,SE,hybrid,1374.8385,Af,Cd,0.01,NA,NA,NA,NA,62.8,26355,energies_2022_Hyundai_IONIQ_Hybrid_SE.npy
2022 Wuling Hongguang Mini EV Yue Xiang,Wuling,Hongguang Mini EV,2022,Yue Xiang,electric,705,Af,Cd,0.01,13.8,2.2,0,6.49650078,NA,15366,energies_2022_Wuling_Hongguang_Mini_EV_YX.npy
2022 Nissan Sakura X,Nissan,Sakura,2022,X,electric,1070,Af,Cd,0.01,20,2.9,30,5.011058,NA,21832,energies_2022_Nissan_Sakura_X.npy
2022 Nissan Sakura Lite,Nissan,Sakura,2022,Lite,electric,1070,Af,Cd,0.01,15,2.9,30,5.011058,NA,21832,energies_2022_Nissan_Sakura_X.npy
2023 Chevrolet Bolt EV 1LT,Chevrolet,Bolt EV,2023,1LT,electric,1628,Af,Cd,0.01,65,11.5,55,4.321354201,NA,26595,energies_2022_Chevrolet_Bolt_EV_1LT.npy
