name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2021 Hyundai IONIQ Electric SE,41.8,41.8,41.8,41.8,42.5,43,43.2,43.3,43.4,43.5,43.6,43.6,43.7,43.9,43.9,44,44.1,44.2,44.3,44.3,44.4,44.5,44.5,44.8,44.8,44.8,44.8,44.8,44.8,44.9,45,45,45,45.2,45.3,45.3,45.3,45.4,45.4,45.5,45.5,45.7,45.7,45.8,45.8,45.9,45.9,46,46,46,46.1,46.2,46.2,46.3,46.6,46.6,46.6,46.7,46.8,47,47,47,47.2,47.3,47.5,47.5,47.6,47.7,47.8,47.8,48,48.1,48.1,48.3,48.4,48.5,48.6,48.7,48.8,48.9,45.8,40.4,36.5,32.6,23.9,22.2,22.5,22.7,22.7,22.8,22.8,22.8,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
2023 Dacia Spring Essential,32.4,32.4,32.4,32.4,32.6,32.7,32.8,32.9,33,33.1,33.2,33.2,33.3,33.3,33.3,33.4,33.4,33.4,33.5,33.6,33.6,33.6,33.7,33.7,33.4,33.3,33.3,33,33,32.7,32.7,32.8,32.4,32.4,32.1,32.1,31.9,31.8,31.8,31.5,31.5,31,29.1,29,29,29,29,29,29,29,29.3,29.3,29.3,29.3,29,29,28.7,28.7,28.4,26.6,26.4,23.9,23.8,23.9,23.9,23.8,24.1,24.2,24.2,24.1,24.1,24.1,23.8,23.5,23.2,23,22.6,22.3,22,21.4,21.1,20.8,20.5,20.3,19.9,19.3,19,18.7,17.5,16.9,15.8,15.8,15.7,15.4,15.1,14.5,13.6,12.9,12,12,12
2023 Chevrolet Bolt EV 1LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 Tesla Model 3 Long Range AWD,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,182.4,183.6,185,185.9,186.5,187,187.5,187.8,188.6,188.9,189.4,189.5,190,190.5,190.5,191,191.5,192,192.1,192.4,192.4,193,193.5,194,194.5,194.5,194.9,193.1,192.2,188.3,185.2,180.8,176.2,171.9,168.7,164.2,160.6,157.3,153.5,149.1,147.3,143.1,139.6,136.7,131.7,126.5,123.2,118,110.7,107.2,106.1,105.1,103.3,100.5,98.5,95.9,93.3,91.4,89.5,86.8,82.8,79.7,76.9,72.6,68.6,66.2,63,59.5,56.6,54.5,51.3,50.1,46.5,43.8,42.1,39.8,38.4,36.1,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4
2023 Jaguar I-PACE S,100.3,100.3,100.3,100.3,100.3,100.3,100.3,100.3,99.7,100.1,100.3,100.7,100.7,100.8,101,101,101.2,101.4,101.4,101.6,101.7,101.8,101.9,101.9,102.1,102.1,102.8,103,103.2,103.2,103.2,103.4,103.4,103.4,103.2,102.9,102.1,101.8,101.7,101.6,101.3,100.5,99.4,98.1,96.9,94.1,92.6,91,89.5,87.7,86.4,85.6,85.8,85.8,86,86,85.8,85.6,85.4,85.4,85.6,85.6,85.8,86.1,86.2,86.3,86.6,86.6,85.6,84.2,82.2,80.4,78.4,76,71.9,68.2,64.6,61,57.4,53.5,51.1,48.8,46.9,44.4,44.2,44.4,44.4,44.2,43.6,42.5,41,39.2,37.7,36,34.4,32.7,30.9,29.4,27.9,25.2,25.2
eff_140_batt_26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eff_155_batt_26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eff_170_batt_26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eff_185_batt_26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eff_200_batt_26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
